ncm,nves,nves_nm,pais_origem,fob_kg_minimo_dolar_truncado,fob_kg_maximo_dolar_truncado,fob_kg_media_dolar_truncado,fob_kg_mediana_dolar_truncado,fob_kg_desvio_padrao_dolar_truncado,fob_kg_quartil1_truncado,fob_kg_quartil3_truncado,fob_ume_minimo_dolar_truncado,fob_ume_maximo_dolar_truncado,fob_ume_media_dolar_truncado,fob_ume_mediana_dolar_truncado,fob_ume_desvio_padrao_dolar_truncado,fob_ume_quartil1_truncado,fob_ume_quartil3_truncado,vmle_soma_dolar_truncado,peso_liq_soma_truncado,qtd_ume_soma_truncado,frete_minimo_dolar_truncado,frete_media_dolar_truncado,frete_mediana_dolar_truncado,frete_maximo_dolar_truncado,frete_desvio_padrao_dolar_truncado,seguro_minimo_dolar_truncado,seguro_media_dolar_truncado,seguro_mediana_dolar_truncado,seguro_maximo_dolar_truncado,seguro_desvio_padrao_dolar_truncado,ume,ncm_str
3038990,S/NVE,S/NVE,FORMOSA (TAIWAN),2.94,4.54,3.48,3.11,0.716,3.02,3.85,2.94,4.54,3.48,3.11,0.716,3.02,3.85,555000.0,166000.0,166000.0,241.0,2050.0,2000.0,2940.0,906.0,0.0,0.0,0.0,0.0,0.0,Quilograma,03038990
3044100,S/NVE,S/NVE,CHILE,8.79,12.2,10.5,10.4,1.01,9.93,11.4,8.79,12.2,10.5,10.4,1.01,9.93,11.4,2060000.0,208000.0,208000.0,42.2,1510.0,1460.0,4000.0,1250.0,0.0,47.6,13.7,209.0,68.2,Quilograma,03044100
3046100,S/NVE,S/NVE,VIETNA,3.95,4.43,4.08,3.97,0.177,3.95,4.22,3.95,4.43,4.08,3.97,0.177,3.95,4.22,1400000.0,344000.0,344000.0,1590.0,2250.0,2330.0,2500.0,273.0,0.0,2.78,0.0,19.4,7.07,Quilograma,03046100
3046290,S/NVE,S/NVE,VIETNA,2.08,3.35,2.78,2.75,0.244,2.61,2.91,2.08,3.35,2.78,2.75,0.244,2.61,2.91,17300000.0,6210000.0,6210000.0,1500.0,2010.0,2000.0,3900.0,404.0,0.0,31.4,0.0,279.0,61.1,Quilograma,03046290
3047300,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",3.92,5.11,4.39,4.27,0.506,4.17,4.5,3.92,5.11,4.39,4.27,0.506,4.17,4.5,405000.0,92500.0,92500.0,1860.0,2010.0,2020.0,2160.0,157.0,0.0,14.9,0.0,59.9,29.9,Quilograma,03047300
3047400,S/NVE,S/NVE,ARGENTINA,2.4,3.95,3.3,3.32,0.282,3.25,3.38,2.4,3.95,3.3,3.32,0.282,3.25,3.38,4350000.0,1310000.0,1310000.0,659.0,1700.0,1710.0,2780.0,665.0,0.0,87.3,36.2,244.0,98.2,Quilograma,03047400
3047500,S/NVE,S/NVE,"CHINA, REPUBLICA POPULAR",2.4,3.47,3.02,3.1,0.283,2.87,3.18,2.4,3.47,3.02,3.1,0.283,2.87,3.18,3540000.0,1170000.0,1170000.0,1600.0,2070.0,2000.0,2700.0,282.0,0.0,45.1,0.0,310.0,85.0,Quilograma,03047500
3048100,S/NVE,S/NVE,CHILE,7.4,14.9,9.26,9.09,1.65,8.2,9.56,7.4,14.9,9.26,9.09,1.65,8.2,9.56,3050000.0,330000.0,330000.0,375.0,3320.0,3350.0,7300.0,2190.0,0.0,85.9,11.4,225.0,96.6,Quilograma,03048100
3049500,S/NVE,S/NVE,PORTUGAL,8.9,11.6,10.7,11.2,1.11,10.1,11.4,8.9,11.6,10.7,11.2,1.11,10.1,11.4,157000.0,16000.0,16000.0,25.6,368.0,171.0,1490.0,566.0,0.0,8.57,0.0,29.5,13.5,Quilograma,03049500
3049900,S/NVE,S/NVE,CHILE,1.5,7.0,2.69,2.0,1.67,2.0,2.0,1.5,7.0,2.69,2.0,1.67,2.0,2.0,527000.0,183000.0,183000.0,14.1,2080.0,2110.0,3480.0,1150.0,0.0,15.5,0.0,90.1,29.4,Quilograma,03049900
